Code,Income group,Year,emissions_change,avg_change_prev_3_years,avg_change_prev_5_years,prev_year_change
DJI,Lower middle income,2020,0.024930222000000057,-0.002665344133333155,-0.02358442879999991,-0.0038758489999999313
DJI,Lower middle income,2021,0.08534221800000008,0.028217328999999996,-0.005296834960000041,0.024930222000000057
DJI,Lower middle income,2022,0.03493909399999939,0.035465530333333405,0.020455281520000135,0.08534221800000008
DMA,Upper middle income,2001,0.0008012569635999015,,,
DMA,Upper middle income,2002,-0.000572039112999901,0.0008012569635999015,0.0008012569635999015,0.0008012569635999015
DMA,Upper middle income,2003,0.0083401256777,0.00011460892530000023,0.00011460892530000023,-0.000572039112999901
DMA,Upper middle income,2004,0.0064135060428,0.002856447842766667,0.002856447842766667,0.0083401256777
DMA,Upper middle income,2005,0.0009792083329998,0.004727197535833366,0.003745712392775,0.0064135060428
DMA,Upper middle income,2006,0.0029679316200001,0.005244280017833267,0.00319241158081996,0.0009792083329998
DMA,Upper middle income,2007,0.0134045434118,0.003453548665266633,0.0036257465120999996,0.0029679316200001
DMA,Upper middle income,2008,-0.0026836272281999998,0.005783894454933301,0.0064210630170599805,0.0134045434118
DMA,Upper middle income,2009,0.0015295312862,0.0045629492678667,0.00421631243587998,-0.0026836272281999998
DMA,Upper middle income,2010,0.0029077713078000007,0.004083482489933334,0.0032395174845599806,0.0015295312862
DMA,Upper middle income,2011,-1.3314131590701,0.0005845584552666676,0.0036252300795200205,0.0029077713078000007
DMA,Upper middle income,2012,-0.0026308481669898853,-0.44232528549203326,-0.2632509880585,-1.3314131590701
DMA,Upper middle income,2013,0.008346275576389894,-0.4437120786430966,-0.26645806637425795,-0.0026308481669898853
DMA,Upper middle income,2014,0.005248695899999989,-0.4418992438869,-0.26425208581334,0.008346275576389894
DMA,Upper middle income,2015,0.0024353096000000463,0.0036547077697999994,-0.26350825289058,0.005248695899999989
DMA,Upper middle income,2016,0.004745334699999937,0.00534342702546331,-0.26360274523214,0.0024353096000000463
DMA,Upper middle income,2017,-1.3267601291,0.004143113399999991,0.003628953521879996,0.004745334699999937
DMA,Upper middle income,2018,0.011361785100000077,-0.43985982826666664,-0.261196902664722,-1.3267601291
DMA,Upper middle income,2019,0.006933175999999985,-0.4368843364333333,-0.26059380076,0.011361785100000077
DMA,Upper middle income,2020,-0.012146080900000022,-0.436155056,-0.26025690473999996,0.006933175999999985
DMA,Upper middle income,2021,-0.0019318562000001371,0.0020496267333333464,-0.26317318284,-0.012146080900000022
DMA,Upper middle income,2022,0.0026361119000002375,-0.0023815870333333913,-0.26450862102,-0.0019318562000001371
DNK,High income,2001,1.174754064979993,,,
DNK,High income,2002,0.20889344468000104,1.174754064979993,1.174754064979993,1.174754064979993
DNK,High income,2003,5.261859246980009,0.691823754829997,0.691823754829997,0.20889344468000104
